article,label
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Content
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Annotation
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Ontology
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Hyperlink
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Resource Description Framework
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Triple (baseball)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Demonstration (people)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Population
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Accuracy and precision
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Problem
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Certainty
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Number
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Entity
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Increase (knitting)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Data
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Class (computer science)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Present
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Regression analysis
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Set (mathematics)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Like
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Project
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Genetic linkage
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Methodology
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Extension (kinesiology)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Is-a
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Spanish language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Existential quantification
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Role
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,French language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,The Involved
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Test set
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,English people
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,DBpedia
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Resource (computer science)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,System
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Definition
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Paper
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,The Objective
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Different (Kate Ryan album)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Web page
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Wikipedia
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Contradiction
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Availability
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Connection
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,SPARQL
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Semantic Web
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Training
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Uploading and downloading
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Due
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/130,Solved game
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Ontology
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Resource Description Framework
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Citizenship
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Fragment (computer graphics)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Rewriting
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Knowledge
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Addition
